Top,p.value,FDR,summary.logFC,logFC.hspc,ensembl_gene_id
1,1.863229776246389e-35,5.217043373489906e-33,-3.7089050747973236,-3.7089050747973236,ENSMUSG00000016494
2,3.64336116794852e-21,5.100705635127935e-19,-1.9436396614080227,-1.9436396614080227,ENSMUSG00000026072
3,7.8282064142373e-21,7.306325986621469e-19,-1.4791331944088402,-1.4791331944088402,ENSMUSG00000004709
4,1.0382166051651649e-17,7.26751623615615e-16,-2.0345924633488774,-2.0345924633488774,ENSMUSG00000025790
5,1.4454773178526483e-15,8.094672979974833e-14,-1.705110776801245,-1.705110776801245,ENSMUSG00000030336
6,1.8052663834476765e-15,8.424576456089158e-14,2.6072005462602346,2.6072005462602346,ENSMUSG00000027611
7,3.222398672168922e-15,1.2889594688675705e-13,-2.072676474886139,-2.072676474886139,ENSMUSG00000015355
8,4.397042575460004e-15,1.5389649014110033e-13,-1.101939220043593,-1.101939220043593,ENSMUSG00000004609
9,8.914161528125812e-14,2.773294697639144e-12,-2.137668243451775,-2.137668243451775,ENSMUSG00000021728
10,1.073840394743096e-12,3.0067531052806644e-11,-1.4566594268314035,-1.4566594268314035,ENSMUSG00000053063
11,1.3041535114713418e-12,3.319663483745238e-11,-2.048152342553613,-2.048152342553613,ENSMUSG00000037649
12,2.4403859706423915e-12,5.694233931498903e-11,-1.4077483020123378,-1.4077483020123378,ENSMUSG00000030830
13,1.1630392796112219e-11,2.505007679162632e-10,-1.6519356549810937,-1.6519356549810937,ENSMUSG00000031934
14,3.410874181917975e-11,6.821748363835946e-10,2.194868743940906,2.194868743940906,ENSMUSG00000054641
15,3.690252484358799e-11,6.88847130413642e-10,-1.7607558596015895,-1.7607558596015895,ENSMUSG00000026581
16,5.128744157036809e-11,8.975302274814409e-10,-1.3886984921245908,-1.3886984921245908,ENSMUSG00000034164
17,1.0450409421123162e-10,1.7212439046555805e-9,1.944526863203916,1.944526863203916,ENSMUSG00000026748
18,5.701058229010498e-10,8.868312800682987e-9,1.7807712410832912,1.7807712410832912,ENSMUSG00000079037
19,1.59518780655191e-9,2.284419448699277e-8,-0.8229251979839414,-0.8229251979839414,ENSMUSG00000024620
20,1.6317281776423405e-9,2.284419448699277e-8,-1.7017081514238317,-1.7017081514238317,ENSMUSG00000027435
21,4.661545935650991e-9,6.183284036761007e-8,-0.8893792061145132,-0.8893792061145132,ENSMUSG00000030786
22,4.858294600312223e-9,6.183284036761007e-8,-1.703614649892442,-1.703614649892442,ENSMUSG00000036503
23,7.093470076298325e-9,8.635528788537088e-8,1.9454787968662486,1.9454787968662486,ENSMUSG00000001946
24,1.253862792636142e-8,1.4628399247421657e-7,-1.508152930336938,-1.508152930336938,ENSMUSG00000005087
25,8.459462703772594e-8,9.474598228225301e-7,-1.103082842765311,-1.103082842765311,ENSMUSG00000024109
26,1.19542299568845e-7,1.287378610741408e-6,-1.449751156341116,-1.449751156341116,ENSMUSG00000002897
27,2.1561595627824317e-7,2.236017324366965e-6,-1.1506777804990562,-1.1506777804990562,ENSMUSG00000040528
28,3.6082345351754455e-7,3.60823453517545e-6,-1.1084182748996059,-1.1084182748996059,ENSMUSG00000068747
29,3.9034812658284875e-7,3.6626193283109806e-6,1.1888525598215416,1.1888525598215416,ENSMUSG00000003379
30,3.924234994618911e-7,3.6626193283109806e-6,1.6062254734951817,1.6062254734951817,ENSMUSG00000003420
31,5.245673156565159e-7,4.7380273672201465e-6,1.5778109773728954,1.5778109773728954,ENSMUSG00000038235
32,1.4305726206900937e-6,1.251751043103831e-5,1.3502395906145188,1.3502395906145188,ENSMUSG00000022816
33,1.8223776931433476e-6,1.5462598608489012e-5,-0.5943896758659173,-0.5943896758659173,ENSMUSG00000024621
34,2.0166449727846214e-6,1.6607664481755713e-5,-0.7735612819320714,-0.7735612819320714,ENSMUSG00000028639
35,5.2054761527539214e-6,4.1643809222031385e-5,1.0377193624805172,1.0377193624805172,ENSMUSG00000053062
36,5.9615723146799015e-6,4.6367784669732597e-5,-1.2286354876635441,-1.2286354876635441,ENSMUSG00000034881
37,7.699056047451777e-6,5.826312684558102e-5,1.0170253834691891,1.0170253834691891,ENSMUSG00000026814
38,9.850434130161177e-6,7.258214622224024e-5,-1.1479296538105448,-1.1479296538105448,ENSMUSG00000020717
39,2.0361389804146864e-5,1.4618433705541347e-4,-1.027655887109547,-1.027655887109547,ENSMUSG00000026395
40,2.2892939602002046e-5,1.6025057721401434e-4,-1.196196569845955,-1.196196569845955,ENSMUSG00000059588
41,2.5598222915503088e-5,1.748171321058748e-4,0.7746663458861787,0.7746663458861787,ENSMUSG00000032340
42,3.995464704883534e-5,2.663643136589023e-4,-1.1529972901377947,-1.1529972901377947,ENSMUSG00000032231
43,5.614153235781161e-5,3.65572768841564e-4,1.0064901880899324,1.0064901880899324,ENSMUSG00000015316
44,7.377968959981945e-5,4.695071156352148e-4,-0.5948711927506758,-0.5948711927506758,ENSMUSG00000026656
45,7.884497958861244e-5,4.905909841069218e-4,1.1394922123755087,1.1394922123755087,ENSMUSG00000026566
46,8.80973999531517e-5,5.362450431930971e-4,-0.9277056604624994,-0.9277056604624994,ENSMUSG00000052593
47,1.3557935192644622e-4,8.077067774341475e-4,0.7570862801422991,0.7570862801422991,ENSMUSG00000022037
