Top,p.value,FDR,summary.logFC,logFC.hspc,ensembl_gene_id,external_gene_name,description
1,7.038137894401305e-117,1.9706786104323156e-114,1.5969100793979987,1.5969100793979987,ENSMUSG00000028639,Ybx1,Y box protein 1 [Source:MGI Symbol;Acc:MGI:99146]
2,4.736622223753693e-90,6.631271113255179e-88,3.03516471541103,3.03516471541103,ENSMUSG00000024053,Emilin2,elastin microfibril interfacer 2 [Source:MGI Symbol;Acc:MGI:2389136]
3,1.832630232166606e-88,1.710454883355508e-86,3.2610562606975426,3.2610562606975426,ENSMUSG00000041329,Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide [Source:MGI Symbol;Acc:MGI:88109]"
4,4.211954153420369e-79,2.948367907394257e-77,-2.146490808164349,-2.146490808164349,ENSMUSG00000030336,Cd27,CD27 antigen [Source:MGI Symbol;Acc:MGI:88326]
5,5.855863532040066e-79,3.2792835779423916e-77,-3.056730391790204,-3.056730391790204,ENSMUSG00000016494,Cd34,CD34 antigen [Source:MGI Symbol;Acc:MGI:88329]
6,2.7085938206015105e-78,1.2640104496140428e-76,3.0008098684068374,3.0008098684068374,ENSMUSG00000002808,Epdr1,ependymin related protein 1 (zebrafish) [Source:MGI Symbol;Acc:MGI:2145369]
7,2.0298378976676465e-68,8.119351590670538e-67,-2.7185180056802616,-2.7185180056802616,ENSMUSG00000027611,Procr,"protein C receptor, endothelial [Source:MGI Symbol;Acc:MGI:104596]"
8,4.85658105982291e-65,1.6998033709380143e-63,-2.9063764890862256,-2.9063764890862256,ENSMUSG00000030745,Il21r,interleukin 21 receptor [Source:MGI Symbol;Acc:MGI:1890475]
9,3.19341048283581e-62,9.935054835489265e-61,2.7202264532309988,2.7202264532309988,ENSMUSG00000035206,Sppl2b,signal peptide peptidase like 2B [Source:MGI Symbol;Acc:MGI:1920468]
10,9.552916953393326e-55,2.6748167469501277e-53,-2.4724616295657262,-2.4724616295657262,ENSMUSG00000059588,Calcrl,calcitonin receptor-like [Source:MGI Symbol;Acc:MGI:1926944]
11,7.687804820371209e-53,1.9568957724581148e-51,2.3099481252776473,2.3099481252776473,ENSMUSG00000022797,Tfrc,transferrin receptor [Source:MGI Symbol;Acc:MGI:98822]
12,1.0263494249376003e-51,2.394815324854405e-50,2.041176583481172,2.041176583481172,ENSMUSG00000026837,Col5a1,"collagen, type V, alpha 1 [Source:MGI Symbol;Acc:MGI:88457]"
13,1.5878942552614414e-51,3.4200799344092465e-50,-2.572539184492605,-2.572539184492605,ENSMUSG00000021728,Emb,embigin [Source:MGI Symbol;Acc:MGI:95321]
14,7.495359312207863e-51,1.4990718624415824e-49,-2.504061414624027,-2.504061414624027,ENSMUSG00000025780,Itih5,"inter-alpha-trypsin inhibitor, heavy chain 5 [Source:MGI Symbol;Acc:MGI:1925751]"
15,1.5986746905153756e-50,2.9841927556287093e-49,1.8304106699167588,1.8304106699167588,ENSMUSG00000030062,Rpn1,ribophorin I [Source:MGI Symbol;Acc:MGI:98084]
16,2.71738500838027e-50,4.755423764665452e-49,2.3371399786254017,2.3371399786254017,ENSMUSG00000030117,Gdf3,growth differentiation factor 3 [Source:MGI Symbol;Acc:MGI:95686]
17,1.541211368787565e-49,2.5384657838854022e-48,2.2862178604929944,2.2862178604929944,ENSMUSG00000031170,Slc38a5,"solute carrier family 38, member 5 [Source:MGI Symbol;Acc:MGI:2148066]"
18,9.533726636406457e-49,1.4830241434410134e-47,-2.096393070398254,-2.096393070398254,ENSMUSG00000038235,F11r,F11 receptor [Source:MGI Symbol;Acc:MGI:1321398]
19,8.802654388760161e-45,1.2972332783435955e-43,-2.145073189211317,-2.145073189211317,ENSMUSG00000022309,Angpt1,angiopoietin 1 [Source:MGI Symbol;Acc:MGI:108448]
20,3.718379557661101e-42,5.205731380725524e-41,-2.118433032103356,-2.118433032103356,ENSMUSG00000034881,Tbxa2r,thromboxane A2 receptor [Source:MGI Symbol;Acc:MGI:98496]
21,8.700122625339168e-41,1.1600163500452184e-39,-1.3378209156558043,-1.3378209156558043,ENSMUSG00000031785,Adgrg1,adhesion G protein-coupled receptor G1 [Source:MGI Symbol;Acc:MGI:1340051]
22,1.846550789065051e-40,2.2880668412418883e-39,-1.99519437449749,-1.99519437449749,ENSMUSG00000001946,Esam,endothelial cell-specific adhesion molecule [Source:MGI Symbol;Acc:MGI:1916774]
23,1.8794834767344155e-40,2.2880668412418883e-39,-1.949252858322039,-1.949252858322039,ENSMUSG00000054641,Mmrn1,multimerin 1 [Source:MGI Symbol;Acc:MGI:1918195]
24,2.3151063072742863e-40,2.7009573584866672e-39,1.7455357832561522,1.7455357832561522,ENSMUSG00000047953,Gp5,glycoprotein 5 (platelet) [Source:MGI Symbol;Acc:MGI:1096363]
25,3.150450329369755e-40,3.528504368894117e-39,1.649902512840453,1.649902512840453,ENSMUSG00000062585,Cnr2,cannabinoid receptor 2 (macrophage) [Source:MGI Symbol;Acc:MGI:104650]
26,2.943254493830995e-39,3.1696586856641323e-38,-1.755701645568557,-1.755701645568557,ENSMUSG00000026395,Ptprc,protein tyrosine phosphatase receptor type C [Source:MGI Symbol;Acc:MGI:97810]
27,4.393302950095724e-38,4.556017874173326e-37,1.2893520027710101,1.2893520027710101,ENSMUSG00000021427,Ssr1,"signal sequence receptor, alpha [Source:MGI Symbol;Acc:MGI:105082]"
28,4.468989031281684e-37,4.4689890312817044e-36,2.0501036047748853,2.0501036047748853,ENSMUSG00000020238,Ncln,nicalin [Source:MGI Symbol;Acc:MGI:1926081]
29,2.4651689419469923e-34,2.3801631163626196e-33,-1.6630307147710437,-1.6630307147710437,ENSMUSG00000036594,H2-Aa,"histocompatibility 2, class II antigen A, alpha [Source:MGI Symbol;Acc:MGI:95895]"
30,8.024821198053957e-33,7.489833118183701e-32,1.0153301449653611,1.0153301449653611,ENSMUSG00000023175,Bsg,basigin [Source:MGI Symbol;Acc:MGI:88208]
31,8.34525519673115e-31,7.53764985511201e-30,-1.6038548022731367,-1.6038548022731367,ENSMUSG00000022636,Alcam,activated leukocyte cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1313266]
32,8.593188729488062e-30,7.519040138302009e-29,-1.4672353955283424,-1.4672353955283424,ENSMUSG00000024462,Gabbr1,"gamma-aminobutyric acid (GABA) B receptor, 1 [Source:MGI Symbol;Acc:MGI:1860139]"
33,1.23081734753732e-29,1.0443298706377224e-28,-1.2567827395896707,-1.2567827395896707,ENSMUSG00000022816,Fstl1,follistatin-like 1 [Source:MGI Symbol;Acc:MGI:102793]
34,3.7195154410211523e-29,3.063130363193886e-28,-1.6526440265834301,-1.6526440265834301,ENSMUSG00000026923,Notch1,notch 1 [Source:MGI Symbol;Acc:MGI:97363]
35,1.7963543738919113e-28,1.4370834991135269e-27,-1.6582342401282457,-1.6582342401282457,ENSMUSG00000026072,Il1r1,"interleukin 1 receptor, type I [Source:MGI Symbol;Acc:MGI:96545]"
36,2.147987940385124e-28,1.6706572869662028e-27,1.69256098628414,1.69256098628414,ENSMUSG00000032336,Nptn,neuroplastin [Source:MGI Symbol;Acc:MGI:108077]
37,2.686212523708659e-28,2.0328094774011514e-27,1.4860131851126577,1.4860131851126577,ENSMUSG00000000555,Itga5,integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]
38,6.139240120181982e-27,4.523650614870933e-26,1.162138207894417,1.162138207894417,ENSMUSG00000027642,Rpn2,ribophorin II [Source:MGI Symbol;Acc:MGI:98085]
39,5.605639197783864e-26,4.024561475332001e-25,-1.6369910803625816,-1.6369910803625816,ENSMUSG00000025351,Cd63,CD63 antigen [Source:MGI Symbol;Acc:MGI:99529]
40,2.7430846584648055e-25,1.8891565487850473e-24,1.7585307951928915,1.7585307951928915,ENSMUSG00000015355,Cd48,CD48 antigen [Source:MGI Symbol;Acc:MGI:88339]
41,2.766264946435242e-25,1.8891565487850473e-24,-1.2657030256110136,-1.2657030256110136,ENSMUSG00000024109,Nrxn1,neurexin I [Source:MGI Symbol;Acc:MGI:1096391]
42,6.285415594015999e-25,4.19027706267734e-24,1.558092023679038,1.558092023679038,ENSMUSG00000038280,Ostm1,osteopetrosis associated transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:2655574]
43,1.3800143341288877e-24,8.986139850141564e-24,1.1377051237673044,1.1377051237673044,ENSMUSG00000020402,Vdac1,voltage-dependent anion channel 1 [Source:MGI Symbol;Acc:MGI:106919]
44,8.779616777833522e-24,5.587028858621319e-23,-1.6498127274227636,-1.6498127274227636,ENSMUSG00000027435,Cd93,CD93 antigen [Source:MGI Symbol;Acc:MGI:106664]
45,2.0615901780834885e-23,1.2827672219186126e-22,-1.200720310246429,-1.200720310246429,ENSMUSG00000004207,Psap,prosaposin [Source:MGI Symbol;Acc:MGI:97783]
46,4.7574920970798044e-23,2.8958647547442325e-22,-1.1899367133681813,-1.1899367133681813,ENSMUSG00000003420,Fcgrt,Fc fragment of IgG receptor and transporter [Source:MGI Symbol;Acc:MGI:103017]
47,6.429325861992489e-22,3.8302366837402025e-21,-1.1957870049053971,-1.1957870049053971,ENSMUSG00000004631,Sgce,"sarcoglycan, epsilon [Source:MGI Symbol;Acc:MGI:1329042]"
48,8.390810484361179e-22,4.894639449210678e-21,-1.4672968736309075,-1.4672968736309075,ENSMUSG00000030748,Il4ra,"interleukin 4 receptor, alpha [Source:MGI Symbol;Acc:MGI:105367]"
49,1.8527355180426417e-21,1.0587060103100804e-20,-1.6438964756588392,-1.6438964756588392,ENSMUSG00000030605,Mfge8,milk fat globule EGF and factor V/VIII domain containing [Source:MGI Symbol;Acc:MGI:102768]
50,9.387078825319986e-21,5.256764142179208e-20,1.2072538841630545,1.2072538841630545,ENSMUSG00000032412,Atp1b3,"ATPase, Na+/K+ transporting, beta 3 polypeptide [Source:MGI Symbol;Acc:MGI:107788]"
51,1.2681601279859925e-20,6.962447761491743e-20,-0.9680228577956691,-0.9680228577956691,ENSMUSG00000022661,Cd200,CD200 molecule [Source:MGI Symbol;Acc:MGI:1196990]
52,3.24736434304502e-20,1.7485808001011644e-19,-1.1826399095710107,-1.1826399095710107,ENSMUSG00000030124,Lag3,lymphocyte-activation gene 3 [Source:MGI Symbol;Acc:MGI:106588]
53,3.801448452999282e-20,2.0083123902637734e-19,1.0606669900201302,1.0606669900201302,ENSMUSG00000021759,Plpp1,phospholipid phosphatase 1 [Source:MGI Symbol;Acc:MGI:108412]
54,1.1067592853217732e-19,5.738751849816609e-19,-0.8795867940709221,-0.8795867940709221,ENSMUSG00000040537,Adam22,a disintegrin and metallopeptidase domain 22 [Source:MGI Symbol;Acc:MGI:1340046]
55,1.721138923497553e-19,8.762161792351167e-19,0.775139426132063,0.775139426132063,ENSMUSG00000050377,Il31ra,interleukin 31 receptor A [Source:MGI Symbol;Acc:MGI:2180511]
56,5.349186900634483e-19,2.674593450317249e-18,1.2304265315893688,1.2304265315893688,ENSMUSG00000028184,Adgrl2,adhesion G protein-coupled receptor L2 [Source:MGI Symbol;Acc:MGI:2139714]
57,2.797567676053938e-18,1.3742437706931581e-17,-0.9957049620847205,-0.9957049620847205,ENSMUSG00000026748,Plxdc2,plexin domain containing 2 [Source:MGI Symbol;Acc:MGI:1914698]
58,3.014229982603956e-17,1.4551455088432904e-16,-0.8464567257484927,-0.8464567257484927,ENSMUSG00000031990,Jam3,junction adhesion molecule 3 [Source:MGI Symbol;Acc:MGI:1933825]
59,7.351220374337753e-17,3.4763205703173894e-16,-0.6081195595042825,-0.6081195595042825,ENSMUSG00000024670,Cd6,CD6 antigen [Source:MGI Symbol;Acc:MGI:103566]
60,7.449258364965842e-17,3.4763205703173894e-16,-0.9679951532711584,-0.9679951532711584,ENSMUSG00000004609,Cd33,CD33 molecule [Source:MGI Symbol;Acc:MGI:99440]
